,vocab,meaning
5710,deliberate,a 深思熟虑的，盘算周到的
5711,retrieve,v 找回；取回
5712,monster,n （想象中的）怪物；（尤指史前的）怪兽，巨兽
5713,nostalgia,n 怀乡病，乡愁，怀旧，留恋过去
5714,illuminate,v 照亮，照明
5715,subtle,1 a 微妙的，难于捉摸的，难解的（[opp]obvious）2 a 敏感的，敏锐的；精细的；巧妙的，精巧的
5716,linguistic,a 语言的；语言学的
5717,beam,n （光线的）束，道，柱；波束，射束
5718,moisture,n 湿气，水分，潮湿；湿度；（空气中的）水蒸气；泪
5719,superintendent,n 管理人，监督人，指挥人；（某一部门的）主管，负责人
5720,supernatural,a 超自然的；不可思议的，怪异的
5721,slope,n 坡，斜坡，斜面；倾斜，坡度
5722,till,1 conj 直到……为止2 n 冰碛土（物）
5723,scatter,n&v 散步；散播
5724,depict,v 画，刻画，描写；叙述
5725,remote,a 遥远的，偏僻的；很久以前（以后）的
5726,steer,v 掌（舵）；驾驶（船、车）；操纵，控制
5727,wrought,a 制造的；锻炼的
5728,civilian,n 市民，平民
5729,intriguing,a 引起兴趣的，有魅力的
5730,respect,n 关系；着眼点，方面；细目
5731,vestige,n 痕迹，遗迹；证据
5732,hunger,n 饥，饥饿
5733,acid,n 酸  a 酸性的；尖酸刻薄的
5734,stagnant,a 停滞的，不流动的；萧条的，不景气的
5735,flavor,n 风味
5736,immediate,a 即时的，立即的
5737,morphology,n 形态学，组织，形态
5738,vapor,n 汽，蒸汽
5739,crisscross,a&n&v 十字交叉（的）
5740,makeup,n 组成，结构
5741,overlap,n&v 重复，部分一致；重叠；复合
5742,municipal,a 市政的，地方性的，市营的
5743,spectacle,n 光景，景象，状况；奇观，壮观
5744,ample,a 丰富的，充足的，富裕的
5745,foliage,n [集合词]（树的）叶子
5746,penchant,n （强烈的）倾向，嗜好，爱好（for）
5747,kiln,n 窑
5748,outgrow,v 长得比……快（大）；发展得比……快；过大而不适于
5749,dissolve,v 使溶解；使分解，使分离
5750,paraphrase,n&v 释义；意译
5751,Celsius,a 摄氏的
5752,artifact,n 人工制品；人为现象
5753,loyal,a 忠诚的；忠实的
5754,outlying,a 远离中心（主体）的，边远的
5755,suppose,v 设想，推测；假定
5756,tap,1 v 开辟，开发2 v 轻打，轻敲
5757,stretch,v 伸展，伸出；展
5758,stony,a 石的，石头的，石质的，像石头（一样硬）的，多石的
5759,masterpiece,n 杰作，名著
5760,immigrant,a&n （来自外国的）移民（的）
5761,match,v 相称，相适合，相配；结合
5762,gigantic,a 巨大的；庞大的，巨人似的
5763,polar,a （南、北）极的，地极的
5764,crude,a 天然的，未加工的
5765,chaos,n 混乱
5766,haunt,v 常去，常到（某地）；缠住（某人）
5767,resort,1 n 热闹场所，娱乐场；胜地2 v 倚靠，凭借  n 手段
5768,terrace,n 台地，平台  v 使成台地，筑坛建造成平顶
5769,revival,n 苏醒；复生，复活；复兴
5770,rally,v 召集，纠合，团结
5771,instrument,n 手段，工具；仪表，仪器；乐器
5772,weird,a 离奇的，古怪的
5773,retreat,n&v 后退，撤退，退缩，凹进
5774,prerequisite,n 先决条件  a 必须先具备的，必要的；先决条件的（to）
5775,timber,n 原木，木材，木料；（可做木材的）树木；森林；林场
5776,myriad,n 无数，极大数量  a 无数的；众多方面的
5777,declare,v 声称；宣布
5778,manipulate,v 巧妙地处理，巧妙地使用
5779,limitation,n 限制；界限；极限；限制因素
5780,convention,1 n 习俗，惯例2 n 会议
5781,sphere,n 球；球体，圆体，球面，球形；天体；星，行星
5782,texture,n （织物的）组织，结构，质地
5783,erode,v 侵蚀，腐蚀
5784,camouflage,n&v 伪装
5785,typical,a 代表的，典型的
5786,gamma,n 伽马射线
5787,fuse,v 熔合
5788,vague,a 含糊的，笼统的
5789,springboard,n 跳板，出发点
5790,disposal,n 处置，处理
5791,aspiring,a 有大志的，抱负不凡的；热望的
5792,abrupt,a 突然的，生硬的
5793,auger,n 螺（丝）钻，钻孔器；钻孔机
5794,notable,a 值得注意的，显著的；著名的，显要的
5795,critical,1 a （在某方面）有鉴定力的（in）2 a 决定性的，重大的
5796,pace,n 步，步调，速度，进度
5797,rid,v 使脱除，使摆脱
5798,injury,n 损害，毁坏，伤害
5799,irreverent,a 无礼的
5800,chisel,n 凿子
5801,pueblo,n （[pl]pueblos）印第安人的村庄
5802,squash,n 南瓜，西葫芦
5803,trigger,v 触发，激起
5804,cedar,n [植]雪松；雪松木
5805,plasma,n 血浆；淋巴液；等离子（体）；等离子区
5806,profit,n [常pl]盈余，利润，赚头（[opp]loss）；利润率
5807,rod,n 棍棒；杆
5808,tank,1 n [军]战车，坦克2 n 贮水池，池塘
5809,focus,n （[pl]focuses，foci）焦点  v 集中注意力于
5810,evaporate,v 蒸发，挥发
5811,subtractive,a 减少的
5812,tolerance,n 忍受；容忍；耐性；耐受性
5813,needy,a 贫穷的，贫困的
5814,saddle,n 马鞍；鞍
5815,virtue,1 n 价值，长处，优点2 n 效能，效力，功效
5816,chief,1 a 主要的2 n 酋长
5817,differentiate,v 使有差别，区别，划分，区分
5818,mental,a 智（脑）力的；精神的，思想的；心理的（[opp]corporal）
5819,abandon,v 扔弃（地位等），离弃（家园）
5820,vantage,n 优势；优越的地位
5821,exuberant,a （感情等）充溢的；（活力）充沛的，（精神）旺盛的
5822,specimen,n 样本，样品，实例，例子；标本
5823,debate,n&v 辩论；讨论
5824,silt,n 泥沙，淤泥（沉积处）
5825,origin,n 根源，起因，由来；出身，来历
5826,percussion,n 敲打，打击；（乐队的）打击乐器组
5827,acquire,v 获得
5828,monetary,a 货币的；金钱的；金融的；财政（上）的
5829,implicit,a 含蓄的，不讲明的（[opp]explicit）
5830,profession,n 职业，（特指）知识性专门职业（[opp]trade，business）
5831,enterprise,n 努力，进取
5832,wheat,n 小麦
5833,onset,n 开始，动手；攻击，突击
5834,carriage,n 车；（四轮）马车
5835,eccentric,a 异常的，反常的
5836,harbor,n 海港，港口，避难所，藏身处
5837,antibiotic,n 抗生素
5838,satellite,n 卫星；人造卫星
5839,undergraduate,a&n 大学生（的）
5840,costume,n 服装
5841,adolescent,a 青年期的，青春期的  n 少年
5842,topography,n 地形，地势；地形（测量）学
5843,flaw,n 瑕疵，缺点
5844,curriculum,n （[pl]curriculums，curricula）课程
5845,kettle,n （烧水用的）水壶，水锅
5846,triangle,n 三角形；三角形的东西；三角板
5847,cue,n 暗示，指示，线索
5848,federal,a （美国）联邦政府的，中央政府的
5849,embody,v 包含，收录
5850,hibernate,v 冬眠；蛰居；越冬
5851,lyric,n 抒情诗；抒情作品
5852,bond,n 结合（物），结合力，黏合（剂），联结，束缚，羁绊
5853,shore,n 岸；海岸；滨
5854,comprehensive,a 广泛的，全面的，完整的
5855,investigate,v 研究，调查；审查
5856,sprout,v 发芽，萌芽
5857,silver,n 银；银器  a 银的
5858,concerning,prep 关于，论及
5859,absent,a 不在的，缺席的
5860,intoxication,n 中毒；醉
5861,rehabilitate,v 改善，复兴，使复原
5862,institution,n 惯例，制度，规定
5863,astute,a 机敏的，伶俐的，狡猾的
5864,draft,1 a （马等）拉车用的，供役使的2 v 起草，拟（方案）；画（草图，轮廓），为……打样，设计  a 正在起草的
5865,plunge,v 跳进，掉进，钻进（into）
5866,vibrant,a 生气勃勃的
5867,spectrum,n 光谱；波谱；范围，幅度
5868,receptacle,n 容器，贮藏所
5869,millennium,n [pl]millennia一千年（间）；千周年纪念
5870,agitation,n （民众的）骚动，兴奋
5871,recede,v 后退，退却（[opp]advance）
5872,ticket,n 票，入场券，车票
5873,endeavor,n&v 努力，尽力
5874,pride,n 自大，骄傲，傲慢，自豪；得意
5875,leisure,a&n 空闲（的），闲暇（的）；悠闲（的），安逸（的）
5876,prejudice,n 偏见，成见；歧视
5877,trough,n 波谷；[数]凹点（[opp]ridge）
5878,contribute,v 出力，做出贡献
5879,seldom,a&ad 不常的；很少的；难得的（[opp]often）
5880,hypersensitive,a 过敏的，过敏性的
5881,squat,v 蹲；坐  n 蹲伏的位置（姿势）  a 蹲着的
5882,random,a 任意的，随机的
5883,conform,v 使一致；依照（习惯）；使遵照（to）
5884,skeptical,a 怀疑性的，好怀疑的（[opp]convinced）
5885,friction,n 摩擦，阻力
5886,boast,v 以有……而自豪，有……可以夸耀；包含；吹嘘
5887,impact,1 n 碰撞2 n&v 影响
5888,deity,n 神；神性；神的身份
5889,welfare,n 福利（事业）；繁荣，兴隆
5890,pretension,n （有根据的）要求；主张
5891,poll,n 民意测验
5892,hinge,v 看……而定，以……为转移（on；upon）
5893,keen,a 敏锐的，敏捷的
5894,swamp,n 沼泽，沼地，湿地
5895,methane,n 甲烷，沼气
5896,luxury,a&n 奢侈（的）；奢侈品（的）
5897,thousandfold,a&ad&n 成千倍（的、地）；千倍（的、地）
5898,casualty,n 伤亡（人数）；事故，横祸
5899,plague,n 瘟疫，传染病；灾害
5900,pluck,v 拔，扯（羽毛等）；采，摘（华、果实）
5901,mural,n 壁画；壁饰  a 墙壁（上）的；墙壁似的
5902,destructive,a 破坏性的；有害的
5903,hatch,v 孵化，孵，创造，使发生
5904,intrinsic,a 内部的，体内的（[opp]extrinsic）
5905,granite,n 花岗岩，花岗石
5906,equilibrium,n 平衡，均衡
5907,epoch,n 纪元，时代；时期
5908,disrepute,n 坏名声，声名狼藉
5909,divert,v 使转向，使转移（from，to）；使消遣，使解闷，使娱乐
5910,gear,n 齿轮，（齿轮）传动装置，齿链；排档
5911,accord,v 一致，与……符合（with）
5912,bugle,n 军号，喇叭；（狩猎时用的）号，角，笛
5913,patience,n 忍耐，容忍，忍受；耐心，耐性
5914,skeleton,n 骨骼，骷髅；骨架；（叶子的）脉络；筋
5915,procedure,n 工序，过程，步骤
5916,chest,1 n 箱，柜，匣2 n 胸部，胸腔
5917,baboon,n 狒狒
5918,halt,v 停止；暂停前进
5919,repertoire,1 n （排好待演的）常备剧目，演奏节目；保留节目2 n 全部技能；所有组成部分
5920,stately,a 庄严的，堂皇的；宏伟的，华贵的
5921,affair,n 事情，事件；（常[pl]）事务；事态
5922,appropriate,1 a 适当的，合适的2 v 挪用，盗用
5923,kernel,n （果实的）核，仁
5924,medieval,a 中世纪的，仿中世纪的，老式的
5925,bend,v 弄弯，使弯曲
5926,lust,v 渴望，热烈追求  n 欲望，贪欲
5927,beak,n （猛禽等的）嘴，喙
5928,dwell,v [书]住，居住
5929,refrigerate,v 冷藏，冷冻
5930,ledge,1 n 壁架2 n （岩石突出的）岩架；岩礁；暗礁
5931,incentive,n 刺激；鼓励；动机  a 刺激性的，鼓励性质的
5932,superb,a 极好的，超等的，宏伟的，壮丽的
5933,conjunction,n 结合，连接
5934,phase,n 形势，局面，状态；阶段
5935,cabinet,1 n 柜，箱2 n 陈列室；（矿物、生物、古钱币等）陈列品
5936,recognition,1 n 认识；识别2 n 承认，认可3 n 褒奖，赞誉
5937,translucent,a 半透明的
5938,mimic,n 仿造物  a 模仿的，模拟的，假的
5939,ooze,1 v 渗出，徐徐流出，滴出，分泌2 n （海底、河底的）淤泥；沼地；分泌物
5940,mobility,n 可动性，活动性，能动性；灵活性，可变动性
5941,incredible,a 不可思议的；惊人的
5942,magnetic,a 磁（性）的；（可）磁化的
5943,collide,v （车等）碰撞（with）；（意志等）冲突，抵触（with）
5944,tariff,n 关税（表），税率（表），税则
5945,drought,n 旱灾，干旱
5946,fidelity,n 忠诚，忠实（to）；真实，翔实
5947,subsidize,v 给……补助金，给……津贴，向……发放奖金
5948,suspect,v 怀疑，觉得可疑，猜疑  a 可疑的
5949,canyon,n 峡（谷）
5950,isolate,v 隔离，使孤立
5951,mill,n 磨坊，厂，工场
5952,violate,v 违犯，违反，破坏
5953,livelihood,n 生活，生计
5954,institute,n 协会，学会；学院
5955,orientation,n 方向；定向；取向
5956,guarantee,n&v 保证，担保
5957,geomagnetic,a 地磁的
5958,hemisphere,n 半球
5959,swarm,1 n （昆虫的）群，蜂群；大群；大堆2 v 蜂拥而至，涌往；挤满；充满
5960,oyster,n 蚝，牡蛎
5961,identical,a 同一的；同样的
5962,commute,v 使用长期票经常旅行（来往），通勤来往（between）
5963,cart,n （二轮运货）马车，大车；手推车
5964,renew,v 重新开始，重订，更改（契约等）
5965,resolution,1 n 解决2 n [自]分辨（力）
5966,ceiling,n 天花板，顶板
5967,signature,n 签名，盖章
5968,handedness,n 惯用左手（右手）
5969,irony,n 讽刺，讥讽
5970,emphasize,v 强调，着重
5971,commission,n&v 委托
5972,willow,n 柳
5973,confer,v 授予，颁予（称号、学位等）
5974,height,n 高，高度；身高；海拔
5975,intervene,v 插进；介入
5976,constant,1 a 稳定的，恒久的2 a 继续不断的
5977,devoid,a 无一的，缺……的（of）
5978,genre,n （文艺作品的）类型，（诗、剧、小说、散文的）体裁
5979,subsequent,a 其后的，其次的；作为结果而发生的（[opp]preceding）
5980,switch,n&v 转换，转变；调配
5981,bay,n 湾，海湾，（山中的）凹地
5982,territory,1 n 领土，版图，领地2 n （野鸟的）生活范围3 n （科学知识、行动等的）领域，范围
5983,notion,n 意见，见解，想法，看法，观点；学说
5984,strategy,n 战略（学）；策略，作战方针
5985,legislation,n 立法；法规；立法机构的审议事项
5986,hive,n 蜂巢，蜂房，蜂箱
5987,in terms of,根据，按照，用……的话说，在……方面
5988,echo,n 回声，反响  v 共鸣
5989,worm,n 蠕虫；虫，蛆
5990,reputation,n 名气，名声，名誉；名望
5991,defend,v 保卫（国家等）；防御，防守，保护……使免于（from，against）
5992,pry,v （用杠杆等）撬，撬起，撬动；（用尽方法）使脱离
5993,thermodynamics,n 热力学
5994,shrink,n&v 收缩，缩水；退缩
5995,vacuum,n 真空
5996,lash,v 捆绑
5997,extent,n 程度；广度
5998,stem,1 n 茎，干，梗；叶柄，花梗，果柄2 v 起源于，起因于，（由……）发生，来自3 n 种族，血统，家系
5999,impediment,n 妨碍，阻碍（to）；障碍物
