,vocal,meaning
3617,rapacious,voracious; ravenous; taking everything one can; excessively grasping; plundering; subsisting on live prey; Ex. rapacious birds
3618,rapport,close relationship; emotional closeness; harmony
3619,rapt,engrossed; absorbed; enchanted; Ex. rapt listener
3620,rapture,great joy and delight; ecstasy; ADJ. rapturous
3621,rare,(of air) thin in density; rarefied; Ex. rare air of the mountains
3622,rarefied,made less dense (of a gas); V. rarefy: make less dense; N. rarefaction
3623,rasp,(of a sound) grate on (eg. nerves); make a harsh noise; have an unpleasant effect; rub with something rough; Ex. The cat's tongue rasped my hand.
3624,raspy,making a harsh noise; grating; harsh
3625,ratify,approve formally; confirm; verify
3626,ratiocination,reasoning; act of drawing conclusions from premises; V. ratiocinate: reason logically
3627,ration,fixed portion; V: distribute as rations
3628,rational,(of a person) having reason; (of ideas) based on reason; logical
3629,rationale,fundamental reason or principle (on which a system or principle is based); fundamental reason or justification; grounds for an action
3630,rationalize,"make rational; devise false reasons for (one's behavior); offer an excuse; give a plausible reason for an action in place of a true, less admirable ones;
N. rationalization"
3631,raucous,(of voice) harsh and unpleasant; (of people) disorderly and boisterous; Ex. raucous shouts
3632,ravage,devastate; plunder; despoil; Ex. crops ravaged by storms
3633,rave,overwhelmingly favorable review; V: talk wildly as if mad; Ex. raving lunatic
3634,ravel,fall apart into tangles; entangle; unravel or untwist
3635,ravenous,extremely hungry; voracious
3636,ravine,"narrow valley with steep sides; gorge; CF. gully, canyon"
3637,raze,destroy completely; Ex. raze the city to the ground
3638,reactionary,strongly opposed to social or political change; opposing progress; politically ultraconservative; N. OP. radical
3639,realm,kingdom; field or sphere; Ex. not within the realms of possibility
3640,reaper,one who harvests grain; Ex. the Grim Reaper; V. reap: cut and gather (crop); harvest a crop
3641,rebate,return of part of a payment; discount; V.
3642,rebuff,reject bluntly; snub; beat back; Ex. She rebuffed his invitation; N.
3643,rebuke,scold harshly; criticize severely
3644,rebus,representation of words in the form of pictures or symbols; puzzle in which pictures or letters stand for words; Ex. ``R U 18'' is a rebus for ``Are you 18''.
3645,rebuttal,refutation; response with contrary evidence; V. rebut: refute; disprove
3646,recalcitrant,disobedient or resisting authority even after being punished; obstinately stubborn; determined to resist authority; unruly; Ex. recalcitrant child
3647,recant,disclaim or disavow; retract a previous statement; openly confess error; Ex. recant one's faith/a statement
3648,recapitulate,summarize
3649,recast,"reconstruct (a sentence, story, statue, etc.); fashion again"
3650,receptive,"quick or willing to receive (ideas, suggestions, etc.); Ex. receptive to the"
3651,recess,pause; temporary cessation; alcove; secret inner place; Ex. parliament in recess; V. CF. recessive
3652,recession,withdrawal; retreat; time of low economic activity
3653,recidivism,habitual return to crime (even after being punished); N. recidivist
3654,recipient,receiver
3655,reciprocal,mutual; given and received in return; exchangeable; interacting; Ex. reciprocal trade agreement
3656,reciprocate,do or give something in return; repay in kind; give or take mutually; interchange; move
3657,recital,act of reciting publicly; detailed account; performance of music or dance (by a solo performer)
3658,recite,repeat aloud (something learned); describe; Ex. recite his complaints; N. recitation
3659,reckon,count; calculate; regard as; think; suppose
3660,recline,lie down
3661,recluse,hermit; loner; ADJ. reclusive
3662,reconcile,make friendly again (after quarrel); make consistent (two ideas in opposition); correct inconsistencies; Ex. reconcile one's political principles with one's religious beliefs
3663,recondite,abstruse; not easily understood; profound; secret
3664,reconnaissance,survey of enemy by soldiers; reconnoitering; V. reconnoiter: make a preliminary inspection of (esp. to gather military information)
3665,recount,narrate or tell (a story); count over again
3666,recourse,resorting to help when in trouble; Ex. without recourse to
3667,recreant,disloyal; cowardly; N: disloyal and cowardly person
3668,recrimination,countercharges; V. recriminate
3669,rectify,set right; correct; CF. rect-: right
3670,rectitude,moral correctness; moral uprightness; moral virtue; correctness of judgment
3671,recumbent,reclining; lying down completely or in part
3672,recuperate,recover; return to health; regain; Ex. recuperate losses
3673,recurrent,occurring again and again
3674,redolent,odorous; fragrant; suggestive (of an odor); Ex. redolent of onions/mystery
3675,redoubtable,formidable; causing fear
3676,redress,remedy; compensation; Ex. seek redress for the damage to your car; V: put right; remedy or rectify (a wrong); make amends for
3677,reduce,diminish; bring to a weaker or more difficult condition; demote; lower in rank; separate into components by analysis; Ex. reduced to the ranks; Ex. reduce the house to rubble; N. reduction
3678,redundant,superfluous; more than is necessary; verbose; excessively wordy; repetitious
3679,reek,emit (an unpleasant odor or smoke); give off an unpleasant odor; give out smoke; Ex. reeking chimney; N: unpleasant odor; stench
3680,refectory,dining hall; room where meals are served (in a school)
3681,referendum,direct vote by all the people
3682,refraction,bending of a ray of light
3683,refractory,unmanageable; disobedient and stubborn; Ex. refractory horse
3684,refrain,abstain from; resist; forbear; N: chorus
3685,refulgent,effulgent; brilliant; brightly shining; gleaming; Ex. refulgent moon
3686,refurbish,"renovate; make clean, bright, or fresh (make new) again; make bright by polishing; Ex. refurbish an old theater; CF. furbish: polish"
3687,refuse,anything discarded or rejected as worthless; trash
3688,refute,disprove; prove to be false; N. refutation
3689,regal,royal; of a monarch; Ex. regal manner
3690,regale,entertain
3691,regatta,boat or yacht race
3692,regeneration,spiritual rebirth; Ex. regeneration of the prisoners; V. regenerate: give or obtain new life; reform spiritually
3693,regent,"a person who governs in place of a ruler who is ill, absent, or still a child; ADJ. Ex. the Prince regent"
3694,regicide,murder of a king or queen
3695,regime,method of system or government
3696,regimen,prescribed course of diet or exercise; prescribed diet and habits; Ex. daily regimen of a dancer
3697,regiment,military unit; V: subject to strict order; Ex. regimented society
3698,rehabilitate,restore to proper condition (health or useful life); restore the former rank of
3699,reimburse,repay; pay back
3700,reinstate,restore to a previous condition or position
3701,reiterate,repeat
3702,rejoinder,reply; retort; comeback; V. rejoin: say in reply
3703,rejuvenate,make young again
3704,relapse,return to a former state (esp. after improvement); N.
3705,relegate,put into a lower or worse place; banish to an inferior position; delegate; assign; Ex. relegate the old furniture to the children's room; Ex. relegated to the second division
3706,relent,become less severe; give in(surrender); ADJ. relentless: unyielding; continuously severe
3707,relevant,"having importance; pertinent; referring to the case in hand; N. relevance, relevancy"
3708,relic,surviving remnant (from an extinct culture); memento; keepsake; relics: corpse; Ex. ancient relics; Ex. relics of his travel; Ex. His relics are buried at X.
3709,religious,of religion; (of a person) pious; having reverence for a deity
3710,relinquish,give up something (with reluctance); yield; release; Ex. relinquish power/the claim to the land/his hold on my arm
3711,relish,enjoy; savor; N: enjoyment; zest
3712,remediable,reparable
3713,reminiscence,recollection; V. reminisce: recollect the past
3714,reminiscent,suggestive of something (in the past); of reminiscence
3715,remiss,negligent; careless about a duty
3716,remission,temporary moderation (of disease symptoms); remitting of a debt or punishment; cancelation of a debt; pardon; Ex. The disease went into remission; Ex. Christians pray for the remission of sins.
3717,remit,transmit (money) in payment; free someone from a debt or punishment
3718,remittance,remitting of money; amount of money remitted
3719,remnant,remainder
3720,remonstrate,protest; objection; V. remonstrate: say in protest
3721,remorse,deep regret for wrongdoing; guilt; self-reproach
3722,remunerative,(of work) compensating; rewarding; profitable; well-paid; V. remunerate: reward; pay (someone) for work or trouble
3723,rend,split; tear apart; N. rent; CF. heartrending: causing deep sorrow
3724,render,give; deliver; provide; represent in verbal or artistic form; depict; perform; make; translate; Ex. render the song beautifully
3725,rendezvous,meeting place; meeting at a set time or place; V.
3726,rendition,"rendering; translation; artistic interpretation of a song, etc"
3727,renegade,deserter; traitor; ADJ.
3728,renege,break a promise; deny; go back on; Ex. renege on the contract/paying off the debt
3729,renounce,abandon; give up (by formal announcement); disown; repudiate; Ex. renounce one's claim to the property/one's religion; N. renunciation
3730,renovate,restore to good condition; renew
3731,renown,fame; ADJ. renowned
3732,rent,tear made by rending; rip; split
3733,reparable,capable of being repaired
3734,reparation,compensation (for loss or wrong); amends; Ex. make reparation for the damage; CF. repair
3735,repartee,quick clever reply
3736,repast,meal; feast; banquet
3737,repeal,revoke; annul
3738,repel,drive away; disgust; Ex. repel the attack/moisture; Ex. repelled by the dirty room; CF. repulsion
3739,repellent,driving away; disgusting; offensive; repulsive; unattractive; N.
3740,repercussion,rebound; reaction; reverberation; Ex. serious repercussion
3741,repertoire,"list of works of music, drama, etc., a performer is prepared to present; CF. repertory"
3742,repine,fret; complain; be annoyed; Ex. repine over the undone work
3743,replenish,fill up again
3744,replete,fully filled; filled to the brim or to the point of being stuffed; abundantly supplied; Ex. report replete with errors
3745,replica,copy
3746,replicate,reproduce; duplicate
3747,repose,resting; state of being at rest; calmness; V: lie at rest; relax; put or place; Ex. repose our hopes in a single man
3748,repository,storehouse
3749,reprehensible,deserving blame; blameworthy; V. reprehend: blame
3750,representational,(of a style of art) showing things as they actually appear in real life
3751,repress,hold back (the natural expression of); restrain; crush; oppress; Ex. repressed child; Ex. repress a laugh/rebellion
3752,reprieve,postponement or cancelation of a punishment; temporary stay; V: postpone or cancel the punishment of
3753,reprimand,reprove severely; rebuke; N.
3754,reprisal,retaliation
3755,reprise,musical repetition; repeating of a piece of music; repeat performance; recurrent action; Ex. reprise in the finale; Ex. constant reprises
3756,reproach,blame (not angrily but sadly); express disapproval or disappointment; N. ADJ. reproachful
3757,reprobate,"morally disapproved person; person hardened in sin, devoid of a sense of decency; CF. disapproved by God ?"
3758,reprobation,severe disapproval; CF. approbation
3759,reprove,censure; rebuke; N. reproof
3760,repudiate,disown; disavow; deny
3761,repugnance,disgust; strong dislike; loathing; ADJ. repugnant: arousing disgust; repulsive
3762,repulse,reject with rudeness or coldness (an offer or friendship); drive back (an enemy attack); CF. repulse $\neq$ cause repulsion
3763,repulsion,distaste; disgust; act of driving back; ADJ. repulsive: causing disgust; tending to drive away; V. repel (not `repulse')
3764,reputable,respectable; having a good reputation
3765,reputed,supposed; Ex. reputed father of the child; V. repute: consider; N. repute: reputation; esteem
3766,requiem,mass for the dead; dirge
3767,requisite,necessary requirement; something required; ADJ: required; necessary
3768,requisition,formal demand or request; Ex. requisition for more computing equipment; V.
3769,requite,make return for; repay; reciprocate; revenge; N. requittal
3770,rescind,"repeal; annul; cancel (a law, decision, or agreement)"
3771,resentment,indignation; bitterness; displeasure; V. resent: feel anger about
3772,reserve,self-control; self-restraint; formal but distant manner; reticence; Ex. without reserve: freely and openly; ADJ. reserved: shy and uncommunicative
3773,residual,remaining; left over; of a residue; N: residue
3774,residue,remainder; balance
3775,resign,"give up (a position, right, or claim); submit (oneself) passively"
3776,resignation,patiently submissiveness; statement that one is quitting a job; ADJ. resigned: acquiescent
3777,resilient,elastic; having the power of springing back; able to recover quickly (as from
3778,resolution,determination; resoluteness; ADJ. resolute: firm or determined in purpose
3779,resolve,decide; settle; solve; separate; make a determined decision; N. resolution
3780,resonant,(of a sound) echoing; resounding(sounding loudly); deep and full in sound; producing resonance; Ex. resonant voice; N. resonance
3781,resort,turn to for help; Ex. resort to violence; N.
3782,resound,(of a place) be filled with sound; (of a sound) sound loudly; sound back; echo; Ex. hall resounded with laughter
3783,resourceful,"clever and imaginative (in dealing with difficult situations); N. resource, resourcefulness"
3784,respiration,breathing; exhalation; ADJ. respiratory
3785,respite,time for rest; interval of relief; delay in punishment; reprieve
3786,resplendent,brilliant; splendid in appearance; dazzling; glorious
3787,responsiveness,"state of reacting readily to appeals, orders, etc.; ADJ. responsive: readily reacting; Ex. responsive to treatment"
3788,restitution,"returning something (lost or stolen) to the rightful owner; reparation; indemnification; compensation for loss, damage, or injury"
3789,restive,impatiently restless (induced by external coercion or restriction); restlessly impatient; obstinately resisting control; Ex. restive horses because of wolves; CF. not a general synonym for `restless'
3790,restraint,moderation or self-control; controlling force; restriction
3791,resumption,taking up again; recommencement; V. resume: begin or take up again; take or occupy again; Ex. Kindly resume your seats.
3792,resurge,rise again; flow to and fro; N. resurgence; ADJ. resurgent: (of ideas or beliefs) experiencing revival; surging again
3793,resurrect,revive
3794,resuscitate,revive; bring back to life or consciousness; Ex. resuscitate the drowned child
3795,retain,keep; maintain possession of; employ (esp. a lawyer or advisor); N. retainer: servant; fee paid to retain an advisor
3796,retaliate,repay in kind (usually for bad treatment); V. retaliate
3797,retard,delay (in development); ADJ. retarded: (as of a child) slower in development
3798,retentive,holding; able to retain things (esp. facts in the mind); having a good memory
3799,reticent,inclined to silence; uncommunicative; reserved; Ex. He was reticent about the reasons; N. reticence
3800,retinue,following; attendants
3801,retiring,shy and reserved (of a person); modest; Ex. her retiring personality
3802,retort,quick sharp reply; V.
3803,retract,withdraw; take back; draw back; Ex. retract a statement/an offer/claws; N. retraction; CF. retractile
3804,retrench,cut down; cut down expenses; economize
3805,retribution,deserved punishment for wrongdoing; punishment for offenses; compensation; vengeance; CF. pay back
3806,retrieve,recover; put right; find and bring in; regain; Ex. retrieve the situation
3807,retroactive,taking effect before its enactment (as a law) or imposition (as a tax); (of a law) having effect on the past as well as the future
3808,retrograde,go backwards; recede; degenerate; deteriorate; ADJ.
3809,retrospective,looking back on the past; N. retrospection; V. retrospect
3810,revelry,boisterous merrymaking; V. revel: engage boisterous festivities; enjoy greatly; N: boisterous festivity or celebration
3811,reverberate,echo repeatedly; resound; Ex. The thunder reverberated across the valley.
3812,reverend,deserving reverence; N: priest
3813,reverent,respectful; worshipful; V. revere: regard with reverence; N. reverence: profound respect
3814,reverie,daydream; abstracted musing
3815,revert,relapse; backslide; turn back to; return to the former owner; N. reversion
3816,revile,attack with abusive language; vilify(slander)
3817,revoke,cancel; retract; CF. irrevocable
3818,revulsion,sudden strong feeling of disgust; sudden violent change of feeling; negative reaction; Ex. revulsion from the scenes of torture
3819,rhapsodize,speak or write in an exaggeratedly enthusiastic manner; Ex. rhapsodize over the beauty of the scenery
3820,rhapsody,excessively enthusiastic expression of feeling; musical composition of irregular form (as if made up as one plays it)
3821,rhetoric,art of effective communication; art of using language effectively and persuasively; style of speaking or writing; grandiloquent language; Ex. political rhetoric; ADJ. rhetorical; CF. rhetorical question: question to which no answer is expected as
3822,ribald,marked by vulgar lewd humor; wanton; profane; N. ribaldry: ribald language or joke
3823,rickety,(of buildings) likely to break or fall apart; of rickets; CF. rickets; CF. vitamin
3824,riddle,pierce with holes; permeate or spread throughout; Ex. The gunman riddled the car with bullets; Ex. The whole report is riddled with errors; N. large sieve (separating earth from stone)
3825,rider,amendment or clause added to a legislative bill
3826,rife,(of something bad) widespread; abundant; current
3827,rift,narrow opening in a large mass; break in a friendly relation; Ex. through a rift in the clouds; OP. reconcilation
3828,rig,arrangement of masts and sails; V: equip (a ship) with rigging; ADJ. rigging: ropes that hold up a ship's sails
3829,righteous,morally upright; just
3830,rightful,legally correct; Ex. rightful owner
3831,rigid,hard and unbending; stiff and unyielding; fixed in behavior or views; strict; rigorous; Ex. rigid rule
3832,rigor,severity; Ex. rigors of the Russian winter
3833,rile,irritate; vex; muddy
3834,rip,tear or be torn quickly and violently; Ex. The sail ripped under the force of the wind; N.
3835,rivet,metal pin used for fastening metal plates together; V: fasten with a rivet; engross
3836,riveting,holding one's attention; absorbing; engrossing
3837,rivulet,small stream; CF. rill < rivulet < river
3838,robust,strong; vigorous
3839,rococo,ornate; highly decorated; N. CF. 18th century
3840,roil,make liquids murky by stirring up sediment; disturb
3841,rolling,(of land) rising and falling in long gentle slopes; happening continuously by stages; Ex. rolling devolution of power to local governments
3842,romp,play or frolic boisterously; gambol; N.
3843,rooster,cock; adult male chicken
3844,roseate,rosy; optimistic; Ex. roseate views
3845,roster,list (of names)
3846,rostrum,raised platform for speech-making; pulpit
3847,rote,repetition; memorization through repetition without understanding; Ex. learn poetry by rote
3848,rotund,(of a person) fat and round
3849,rotunda,circular building or hall covered with a dome
3850,rotundity,roundness; sonorousness of speech
3851,rou\'e,lecherous man
3852,rousing,lively; inducing excitement; stirring; V. rouse: waken; arouse from sleep or depression; excite; stir up
3853,rout,put to rout; stampede; drive out; N: complete defeat and disorderly retreat
3854,rubble,fragments (esp. from a destroyed building)
3855,rubric,title or heading (in red print); directions for religious ceremony; protocol
3856,ruddy,reddish; (of the face) reddish and healthy-looking
3857,rudimentary,elementary; not developed; crude; N. rudiment: fundamental element or principle; Ex. rudiments of the language
3858,rue,regret; lament; mourn; Ex. He will rue the day; N. ADJ. rueful
3859,ruffian,violent scoundrel; bully
3860,rumble,make or move with a deep rolling sound (as thunder or stomach)
3861,ruminant,animal that ruminates; ADJ.
3862,ruminate,"chew over and over (mentally or, like cows, physically); mull over(ponder)"
3863,rummage,ransack; thoroughly search
3864,run-down,(of a place) dilapidated; in a bad condition; (of a person) weak or exhausted
3865,runic,mysterious; set down in an ancient alphabet; N. rune: one of the letters of an alphabet used by ancient Germanic peoples (cut on stone or wood); magic charm
3866,ruse,trick to deceive; stratagem
3867,rustic,pertaining to country people; unsophisticated; simple; crude; uncouth; (of furniture) rough with the bark left on; N. rural person; rustic person
3868,rusticate,banish to the country; dwell in the country
3869,rustle,make slight sounds like silk moving or being rubbed together
3870,ruthless,pitiless; merciless; cruel
3871,saccharine,cloying sweet; characteristic of sugar or saccharin
3872,sacrilegious,"desecrating; profane; N. sacrilege: desecration, misuse, or theft of"
3873,sacrosanct,invioably sacred; most sacred; inviolable
3874,sadistic,inclined to cruelty; N. sadism: delight in cruelty
3875,saga,Scandinavian myth; any legend; long heroic narrative
3876,sagacious,wise; perceptive; shrewd; having insight; N. sagacity
3877,sage,person celebrated for wisdom; wise person; ADJ: wise
3878,salacious,lascivious; lustful; Ex. salacious monk
3879,salient,prominent; projecting beyond a line; conspicuous; Ex. salient features
3880,saline,salty
3881,sallow,(of the skin) yellowish and unhealthy-looking; sickly in color; Ex. sallow complexion due to jaundice
3882,salubrious,healthful; conducive to health or well-being; socially desirable; Ex. salubrious area; CF. health
3883,salutary,tending to improve; beneficial; wholesome; Ex. The punishment had a salutary effect on the boy; CF. health
3884,salvage,rescue (goods or property) from loss; N: saving; property saved
3885,sanctimonious,displaying ostentatious or hypocritical devoutness; N. sanctimony: hypocritical piety
3886,sanction,approve; ratify; N: permission; penalty intended to enforce compliance
3887,sanctuary,place of refuge; shelter; shrine; holy place; Ex. The outlaw was granted sanctuary in the church.
3888,sanguinary,bloody; with much bloodshed
3889,sanguine,optimistic; cheerful; hopeful; of the color of blood; red
3890,sap,diminish; weaken; undermine the foundations of (a fortification); Ex. The element kryptonite sapped his strength.
3891,sarcasm,cutting ironic remark; scornful remarks; stinging rebuke; ADJ. sarcastic
3892,sardonic,scornfully mocking; disdainful; sarcastic; cynical; Ex. sardonic smile
3893,sartorial,pertaining to tailors or tailoring; Ex. a man of great sartorial elegance; CF. sartor: tailor
3894,sate,satisfy to the full; satisfy to excess; cloy
3895,satellite,small body revolving around a larger one
3896,satiate,satisfy fully (physical needs such as hunger); sate; N. satiety:
3897,satire,"form of literature in which irony, sarcasm, and ridicule are employed to attack human vice and folly"
3898,satirical,using satire; mocking
3899,saturate,soak thoroughly; imbue; impregnate; charge; fill to capacity
3900,saturnine,morose; gloomy; Ex. Do not be misled by his saturnine countenance.
3901,satyr,"half-human, half-bestial being in the court of Dionysus (resembling a goat), portrayed as wanton(unrestrained) and cunning; lecher; CF. faun; CF. goat: lecherous man"
3902,saunter,stroll(go for a leisurely walk) slowly; N.
3903,savant,scholar; learned person; CF. savoir: know
3904,savor,"enjoy; have a distinctive flavor, smell, or quality; N: taste or smell; distinctive quality"
3905,savory,"pleasant in taste; tasty; pleasing, attractive, or agreeable; Ex. savory reputation"
3906,scabbard,case for a sword blade; sheath
3907,scad,a great quantity; Ex. scads of clothes
3908,scaffold,temporary platform for workers (to work at heights above the ground); bracing framework; platform for execution
3909,scale,climb up; ascend; remove or come off in scales; N: flake of epidermis; ascending or descending series of musical tones
3910,scanty,meager; insufficient
3911,scapegoat,someone who bears the blame for others; whipping boy; CF. escape+goat
3912,scavenge,"hunt through discarded materials for usable items or food; search, especially for food; N. scavenger: one who scavenges; animal that feeds on refuse and carrion"
3913,scenario,plot outline; screenplay(script for a movie); opera libretto; outline of possible future events
3914,schematic,of a schema or scheme; relating to an outline or diagram; using a system of symbols; N. schema: diagrammatic representation; outline
3915,scheme,systematic plan; plot; clever dishonest plan; orderly arrangement of elements; Ex. health insurance scheme; Ex. a scheme to escape taxes; Ex. a color scheme; Ex. a story with no scheme; V: contrive a scheme
3916,schism,division into factions (esp. within a religious body); split
3917,scholarly,full of learning; erudite; like a scholar; Ex. scholarly journal
3918,scintilla,trace; minute amount; shred; least bit; Ex. There is not a scintilla of truth; CF. spark
3919,scintillate,sparkle; flash; be animated; be full of life; Ex. scintillating conversation
3920,scion,detached plant shoot used in grafting; descendant
3921,scoff,laugh (at); mock; ridicule; Ex. scoff at their threats
3922,scorch,sear; N.
3923,score,number of points; written form of a musical composition; reason; group of 20; notch or incision; Ex. full/vocal score; Ex. Don't worry on that score; V: mark with lines or notches; Ex. score the paper to make it easy to fold
3924,scotch,stamp out(put an end to); thwart; hinder; Ex. scotch the rumor; CF. cut; CF. 劝悼阑 临捞绰 狼固
3925,scourge,lash; whip (formerly used for punishment); source of severe punishment; V: whip; afflict
3926,scowl,frown angrily; N: angry frown
3927,scrap,small bit or fragment; discarded waste material; fight; Ex. a scrap of paper/cloth; V: break into parts for disposal; discard as worthless; fight; quarrel
3928,scrappy,quarrelsome
3929,scraps,leftover food
3930,screech,unpleasant high sharp sound; shriek; V.
3931,scrimmage,disorderly fight between two or more people
3932,scruple,hesitate for ethical reasons; fret about; Ex. She did not scruple to read his diary; N: uneasy feeling arising from conscience; conscience
3933,scrupulous,conscientious; extremely thorough; Ex. scrupulous worker
3934,scrutinize,examine closely and critically; N. scrutiny
3935,scuffle,struggle confusedly; move off in a confused hurry; N. CF. scuffling twins ?
3936,scurrilous,abusive; obscene; indecent; Ex. scurrilous remark
3937,scurry,move hastily; hurry; move briskly
3938,scurvy,contemptible; despicable; N: disease caused by deficiency of Vitamin C
3939,scuttle,sink (a ship) by cutting holes in the hull; scrap; discard; N: small hatch in a ship's deck or hull
3940,seamy,sordid; base; filthy; unwholesome; Ex. seamy side of city life
3941,sear,burn the surface of; char or burn; brand; parch; cause (a plant) to wither
3942,season,"enhance the flavor of by adding a spice, etc.; inure; harden; N. seasoning: something used in seasoning"
3943,seasonable,occurring at the proper time or season; opportune; Ex. seasonable intervention in the dispute
3944,seasonal,of a particular season; Ex. seasonal rise in employment
3945,seasoned,experienced
3946,secession,withdrawal; V. secede: withdraw formally from membership
3947,seclusion,isolation; solitude; V. seclude: set apart from others; isolate
3948,secrete,conceal; hide away or cache; produce and release a substance into an organism; CF. secretive
3949,sect,separate religious body; faction; group of people with common beliefs within a larger group
3950,sectarian,of a sect; narrow-minded; parochial; N: member of a sect; narrow-minded person
3951,secular,worldly; not pertaining to church matters or religion; temporal
3952,sedate,composed (with no excitement); grave; V: administer a sedative to; CF. sedative
3953,sedentary,requiring sitting; done while sitting; not moving from one place to another; settled; Ex. sedentary job/population
3954,sedition,conduct or language inciting rebellion; rebellion; resistance to authority; insubordination; ADJ. seditious
3955,seduce,lead away from proper conduct; entice; ADJ. seductive
3956,sedulous,diligent; assiduous; paying attention; N. sedulity
3957,seedy,run-down; decrepit; disreputable; having many seeds; Ex. seedy downtown hotel
3958,seemly,(of behavior) proper; appropriate
3959,seep,pass slowly through small openings; ooze; trickle; N. seepage
3960,seethe,be violently disturbed; boil; (of a liquid) move about wildly as if boiling; Ex. The nation was seething with discontent.
3961,seine,seine net; net for catching fish
3962,seismic,pertaining to earthquakes
3963,selective,careful in choosing; having an effect only on certain things; not general; Ex. eclectic weed killer
3964,self-indulgence,excessive indulgence of one's own desire
3965,self-righteous,sure of one's own righteousness; moralistic
3966,semblance,outward appearance; guise; Ex. We called in the troops to bring a/some semblance of order to the city.
3967,seminal,related to seed or semen; germinal; creative; providing a basis for further development; influencing future developments; Ex. seminal research in a new field
3968,seminary,"school for training future ministers; secondary school, especially for young women"
3969,senility,old age; feeblemindedness of old age; ADJ. senile: resulting from old age; showing the weakness of body or mind from old age; Ex. senile dementia
3970,sensitization,process of being made sensitive or acutely responsive to an external agent or substance; V. sensitize: make or become sensitive
3971,sensual,devoted to the pleasures of the sense; carnal; voluptuous; Ex. sensual woman/curves/lips
3972,sensuous,giving pleasure to the senses; pertaining to the physical senses; operating through the senses; sensuous feeling of soft velvet on the skin
3973,sententious,pithy; terse; concise; aphoristic
3974,sentient,capable of sensation and conscious; aware; sensitive; Ex. sentient creature; N. sentience
3975,sentimental,swayed by sentiment; appealing to the sentiments
3976,sentinel,sentry; lookout
3977,septic,of or causing sepsis; putrid; producing putrefaction; N. sepsis: poisoning of part of the body (producing pus)
3978,sepulcher,tomb; V: place in a sepulcher; ADJ. sepulchral
3979,sequester,isolate; segregate; seclude; retire from public life
3980,sere,sear; parched; dry
3981,serendipity,gift for finding valuable things by accident; accidental good fortune or luck; CF. The Three Princes of Serendip
3982,serenity,calmness; placidity; ADJ. serene
3983,serpentine,winding; twisting; of or like a serpent; Ex. serpentine course of the river; N. serpent: snake
3984,serrated,having a sawtoothed edge; Ex. serrated leaf
3985,servile,slavish; cringing; N. servility
3986,servitude,slavery; compulsory labor imposed as a punishment
3987,sever,"separate; cut off (a part) from a whole; break up (a relationship);
N. severance; CF. severance pay: extra pay given an employee upon leaving a position"
3988,severity,harshness; intensity; sternness; austerity; ADJ. severe: harsh; strict; extremely violent or intense
3989,sextant,navigation tool used to determine a ship's latitude and longitude (by measuring the altitudes of stars)
3990,shack,crude cabin
3991,shackle,chain; fetter; confine with shackles; N.
3992,shade,slight difference in degree; nuance; degree of color; Ex. shades of meaning/grey
3993,sham,pretend; feign; ADJ: not genuine; fake; Ex. sham jewelry; N: something that is not what it appears; impostor; pretense; Ex. The agreement was a sham.
3994,shambles,"(place or scene of) complete disorder or ruin; wreck; mess; Ex. After the hurricane, the coast was a shambles."
3995,Shangri-la,imaginary remote paradise on earth; CF. Lost Horizon
3996,shard,"fragment generally of broken pottery (glass, clay bowl, or cup)"
3997,shaving,"very thin piece, usually of wood (cut from a surface with a sharp blade)"
3998,sheaf,bundle of stalks of grain; any bundle of things tied together
3999,shear,remove (fleece or hair) by cutting; remove the hair or fleece from; cut with or as if with shears; N: shears; pair of scissors
4000,sheathe,place into a case; insert into or provide with a sheath; Ex. He sheathed his dagger; N. sheath: case for a blade
4001,shed,small roofed structure for storage and shelter; V: pour forth; lose by natural process; repel without allowing penetration; radiate; cast; Ex. shed tears/light/water/skin/leaves
4002,sheer,pure; thin and transparent; very steep
4003,sherbet,flavored dessert ice
4004,shift,change position or place; exchange (one thing) for another; change in direction or position; Ex. shift the stolen goods; N. group of workers which takes turns with other groups; working period of such a group
4005,shimmer,shine with a flickering light; glimmer intermittently; Ex. The moonlight shimmered on the water; N.
4006,shirk,"avoid (responsibility, work, etc.); malinger"
4007,shoddy,made of inferior material; sham; not genuine; inferior; dishonest; Ex. shoddy goods/trick
4008,shoot,new growth from a plant
4009,shove,push forward; push roughly; Ex. pushing and shoving to get on the bus; N.
4010,shrew,scolding woman; very small mouselike animal
4011,shrewd,clever; astute
4012,shrivel,make or become shrunken and wrinkled (often by drying)
4013,shudder,shake uncontrollably; tremble; V.
4014,shuffle,mix together; jumble; move (something) from one place to another; slide (the feet) along the ground while walking; Ex. shuffle papers from one pile to another; N.
4015,shun,keep away from; avoid deliberately; Ex. She has been shunned by her neighbors.
4016,shunt,move (a railway train) from one track to another; turn aside; divert; sidetrack; Ex. shunt traffic around an accident; N.
4017,shyster,lawyer using questionable methods; unscrupulous practioner
4018,sibling,brother or sister
4019,sibylline,prophetic; oracular; N. sibyl: woman prophet (in the ancient world)
4020,sidereal,relating to stars; Ex. sidereal day
4021,sidetrack,switch (a railroad car) to a siding; divert from a main issue; N. CF. siding: short section of railroad track connected by switches with a main track
4022,sift,put through a sieve to separate fine from coarse particles; sort or examine carefully
4023,significant,expressing a meaning; important; Ex. significant smile; N. significance: importance; meaning; V. signify: denote; mean; signal; make known; matter; be significant
